call.acousticIncidents,call.acousticIncidentDuration,call.nearTalkDuration,call.farTalkDuration,call.overTalkDuration,call.noTalkDuration,cdReports,cdPeriodicity,conversationAnalysisStats/nearTalkPercentage,call.farTalkPercentage,call.overTalkPercentage,call.noTalkPercentage,call.mutedDuration,call.muteOnEvents,call.volumeUpPress,call.volumeDownPress,call/id,call/startTime,call/endTime,call/duration,call/direction,call/source,call/pluginId,call/softphoneVersion,call/lineType,farTalk,nearTalk,overTalk,txLevelIn,txLevelOut,rxLevelIn,rxLevelOut,txNoiseOut,txNoiseIn,rxVolume,txVolume,rxNoiseOut,rxNoiseIn,periodicity
0,0,0,1399859,0,1503141,2903,2903000,0,48,0,52,92796,1,5,3,2.86597E+19,1.49818E+12,1.49818E+12,2909000,outgoing,Avaya,2100,16.0.7369.2130,VOIP,0,0,0,-64.55859375,-92.3359375,-39.4375,-40.015625,-93.3203125,-74.1796875,6,-0.4921875,-63.09375,-62.58203125,1000
0,0,0,1399859,0,1503141,2903,2903000,0,48,0,52,92796,1,5,3,2.86597E+19,1.49818E+12,1.49818E+12,2909000,outgoing,Avaya,2100,16.0.7369.2130,VOIP,82,0,0,-61.875,-92.3359375,-26.61328125,-23.51953125,-93.3203125,-72.4609375,6,-0.4921875,-56.44140625,-57.30078125,1000
0,0,0,1399859,0,1503141,2903,2903000,0,48,0,52,92796,1,5,3,2.86597E+19,1.49818E+12,1.49818E+12,2909000,outgoing,Avaya,2100,16.0.7369.2130,VOIP,67,0,0,-64.3046875,-92.3359375,-37.4609375,-39.62890625,-93.3203125,-73.51953125,6,-0.4921875,-63.03125,-59.40625,1000
0,0,0,1399859,0,1503141,2903,2903000,0,48,0,52,92796,1,5,3,2.86597E+19,1.49818E+12,1.49818E+12,2909000,outgoing,Avaya,2100,16.0.7369.2130,VOIP,0,0,0,-55.79296875,-92.3359375,-28,-27.04296875,-93.3203125,-70.3359375,6,-0.4921875,-54.2734375,-53.2265625,1000
0,0,0,1399859,0,1503141,2903,2903000,0,48,0,52,92796,1,5,3,2.86597E+19,1.49818E+12,1.49818E+12,2909000,outgoing,Avaya,2100,16.0.7369.2130,VOIP,0,0,0,-65.171875,-92.3359375,-40.59375,-41.578125,-93.3203125,-72.88671875,6,-0.4921875,-58.32421875,-57.4609375,1000
0,0,0,1399859,0,1503141,2903,2903000,0,48,0,52,92796,1,5,3,2.86597E+19,1.49818E+12,1.49818E+12,2909000,outgoing,Avaya,2100,16.0.7369.2130,VOIP,0,0,0,-62.28515625,-92.3359375,-43.01171875,-47.32421875,-93.3203125,-71.0234375,6,-0.4921875,-62.625,-60.84375,1000
0,0,0,1399859,0,1503141,2903,2903000,0,48,0,52,92796,1,5,3,2.86597E+19,1.49818E+12,1.49818E+12,2909000,outgoing,Avaya,2100,16.0.7369.2130,VOIP,0,0,0,-61.42578125,-92.3359375,-21.640625,-21.14453125,-93.3203125,-71.0234375,6,-0.4921875,-46.8984375,-48.98828125,1000
0,0,0,1399859,0,1503141,2903,2903000,0,48,0,52,92796,1,5,3,2.86597E+19,1.49818E+12,1.49818E+12,2909000,outgoing,Avaya,2100,16.0.7369.2130,VOIP,0,0,0,-58.0859375,-92.3359375,-20.2265625,-19.4375,-93.3203125,-68.39453125,6,-0.4921875,-40.5546875,-43.484375,1000
0,0,0,1399859,0,1503141,2903,2903000,0,48,0,52,92796,1,5,3,2.86597E+19,1.49818E+12,1.49818E+12,2909000,outgoing,Avaya,2100,16.0.7369.2130,VOIP,0,0,0,-61.5234375,-92.3359375,-23.984375,-21.078125,-93.3203125,-74.0234375,6,-0.4921875,-40.97265625,-47.3203125,1000
0,0,0,1399859,0,1503141,2903,2903000,0,48,0,52,92796,1,5,3,2.86597E+19,1.49818E+12,1.49818E+12,2909000,outgoing,Avaya,2100,16.0.7369.2130,VOIP,173,0,0,-60.3671875,-92.3359375,-13.4921875,-14.03515625,-93.3203125,-73.59375,6,-0.4921875,-60.4921875,-59.4921875,1000
